position_pair,engram7_load,engram7_strength,engram7_position,engram7_stretch,engram7_vspan,engram7_hspan,engram7_sequence
GE,1,1,0.25,0.5,0.5,0,0
GF,0,1,0.5,0.5,1,0,0
GG,0,1,0,0,1,0,0
GH,1,1,0,0,1,1,1
GI,1,1,0.25,0.5,1,1,1
GJ,1,1,0.5,0.5,1,1,1
GK,1,1,0.5,0.5,1,1,1
GL,1,0.5,0.5,0.5,1,1,1
GM,1,1,0.25,0.5,1,1,1
GN,1,1,0,0,1,1,1
GO,1,0.5,0.25,0.5,1,1,1
GP,1,0.5,0,0.5,1,1,1
GQ,1,0.5,0,0.5,0.5,1,0
GR,0,1,0,0.5,0.5,0,0
GS,1,0.5,0.5,0.5,1,0,0
GT,0,1,0,0,0.5,0,0
GU,1,1,0,0.5,1,1,1
GV,0,1,0.25,0.5,0.5,0,0
GW,1,0.5,0.25,0.5,0.5,1,0
GX,1,0.5,0.25,0.5,0.5,1,0
GY,1,1,0,0,1,1,1
GZ,1,0.5,0.25,0.5,0.5,1,0
G[,1,0.5,0,0,1,1,1
H',1,0.5,0,0,1,0,0
"H,",1,1,0,0.5,0.5,0,0
H.,1,0.5,0.25,0.5,0.5,1,0
H/,1,0.5,0.25,0.5,0.5,1,0
H;,1,0.5,0.5,0.5,1,0,0
HA,1,0.5,0.5,0.5,1,1,1
HB,1,1,0,0,1,1,1
HC,1,1,0,0.5,1,1,1
HD,1,1,0.5,0.5,1,1,1
HE,1,1,0.25,0.5,1,1,1
HF,1,1,0.5,0.5,1,1,1
HG,1,1,0,0,1,1,1
HH,0,1,0,0,1,0,0
HI,1,1,0.25,0.5,0.5,0,0
HJ,0,1,0.5,0.5,1,0,0
HK,1,1,0.5,0.5,1,0,0
HL,1,0.5,0.5,0.5,1,0,0
HM,0,1,0.25,0.5,0.5,0,0
HN,0,1,0,0,0.5,0,0
HO,1,0.5,0.25,0.5,0.5,1,0
HP,1,0.5,0,0.5,0.5,1,0
HQ,1,0.5,0,0.5,1,1,1
HR,1,1,0,0.5,1,1,1
HS,1,0.5,0.5,0.5,1,1,1
HT,1,1,0,0,1,1,1
HU,0,1,0,0.5,0.5,0,0
HV,1,1,0.25,0.5,1,1,1
HW,1,0.5,0.25,0.5,1,1,1
HX,1,0.5,0.25,0.5,1,1,1
HY,0,1,0,0,0.5,0,0
HZ,1,0.5,0.25,0.5,1,1,1
H[,1,0.5,0,0,0.5,1,0
I',1,0.5,0.25,0.5,0.5,1,0
"I,",0,1,0,1,0,0,0
I.,1,0.5,0.5,1,0,0,0
I/,1,0.5,0.5,1,0,1,0
I;,1,0.5,0.75,1,0.5,1,0
IA,1,0.5,0.75,1,1,1,1
IB,1,1,0.25,0.5,1,1,1
IC,1,1,0,1,1,1,1
ID,1,1,0.75,1,1,1,1
IE,1,1,0.5,1,1,1,1
IF,1,1,0.75,1,1,1,1
IG,1,1,0.25,0.5,1,1,1
IH,1,1,0.25,0.5,0.5,0,0
II,0,1,0.5,1,1,0,0
IJ,1,1,0.75,1,0.5,0,0
IK,0,1,0.75,1,0.5,0,0
IL,1,0.5,0.75,1,0.5,0,0
IM,1,1,0.5,1,0,0,0
IN,1,1,0.25,0.5,0,0,0
IO,1,0.5,0.5,1,1,1,0
IP,1,0.5,0,1,1,0,0
IQ,1,0.5,0,1,1,1,1
IR,1,1,0,1,1,1,1
IS,1,0.5,0.75,1,1,1,1
IT,1,1,0.25,0.5,1,1,1
IU,1,1,0,1,1,1,1
IV,1,1,0.5,1,1,1,1
IW,1,0.5,0.5,1,1,1,1
IX,1,0.5,0.5,1,1,1,1
IY,1,1,0.25,0.5,1,0,1
IZ,1,0.5,0.5,1,1,1,1
I[,1,0.5,0.25,0.5,1,0,0
J',1,0.5,0.5,0.5,1,0,0
"J,",1,1,0,1,0.5,0,0
J.,1,0.5,0.75,1,0.5,1,0
J/,1,0.5,0.75,1,0.5,1,0
J;,1,0.5,1,1,1,0,0
JA,1,0.5,1,1,1,1,1
JB,1,1,0.5,0.5,1,1,1
JC,1,1,0,1,1,1,1
JD,1,1,1,1,1,1,1
JE,1,1,0.75,1,1,1,1
JF,1,1,1,1,1,1,1
JG,1,1,0.5,0.5,1,1,1
JH,0,1,0.5,0.5,1,0,0
JI,1,1,0.75,1,0.5,0,0
JJ,0,1,1,1,1,0,0
JK,1,1,1,1,1,1,0
JL,1,0.5,1,1,1,0,0
JM,0,1,0.75,1,0.5,0,0
JN,0,1,0.5,0.5,0.5,0,0
JO,1,0.5,0.75,1,0.5,1,0
JP,1,0.5,0,1,0.5,1,0
JQ,1,0.5,0,1,1,1,1
JR,1,1,0,1,1,1,1
JS,1,0.5,1,1,1,1,1
JT,1,1,0.5,0.5,1,1,1
JU,0,1,0,1,0.5,0,0
JV,1,1,0.75,1,1,1,1
JW,1,0.5,0.75,1,1,1,1
JX,1,0.5,0.75,1,1,1,1
JY,0,1,0.5,0.5,0.5,0,0
JZ,1,0.5,0.75,1,1,1,1
J[,1,0.5,0.5,0.5,0.5,1,0
K',1,0.5,0.5,0.5,1,0,0
"K,",0,1,0,1,0.5,0,0
K.,1,0.5,0.75,1,0.5,0,0
K/,1,0.5,0.75,1,0.5,1,0
K;,1,0.5,1,1,1,0,0
KA,1,0.5,1,1,1,1,1
KB,1,1,0.5,0.5,1,1,1
KC,1,1,0,1,1,1,1
KD,1,1,1,1,1,1,1
KE,1,1,0.75,1,1,1,1
KF,1,1,1,1,1,1,1
KG,1,1,0.5,0.5,1,1,1
KH,1,1,0.5,0.5,1,0,1
KI,0,1,0.75,1,0.5,0,0
KJ,1,1,1,1,1,1,1
KK,0,1,1,1,1,0,0
KL,1,0.5,1,1,1,1,0
KM,1,1,0.75,1,0.5,0,0
KN,1,1,0.5,0.5,0.5,0,0
KO,1,0.5,0.75,1,0.5,0,0
KP,1,0.5,0,1,0.5,1,0
KQ,1,0.5,0,1,1,1,1
KR,1,1,0,1,1,1,1
KS,1,0.5,1,1,1,1,1
KT,1,1,0.5,0.5,1,1,1
KU,1,1,0,1,0.5,0,0
KV,1,1,0.75,1,1,1,1
KW,1,0.5,0.75,1,1,1,1
KX,1,0.5,0.75,1,1,1,1
KY,1,1,0.5,0.5,0.5,0,0
KZ,1,0.5,0.75,1,1,1,1
K[,1,0.5,0.5,0.5,0.5,1,0
L',1,0,0.5,0.5,1,0,0
