key_pair,comfort_score,distance_interval,distance_return,distance_setup,distance_total,dvorak7_columns,dvorak7_distribution,dvorak7_inward,dvorak7_middle,dvorak7_remote,dvorak7_score,dvorak7_strength,dvorak7_vspan,engram7_hspan,engram7_load,engram7_position,engram7_score,engram7_sequence,engram7_strength,engram7_stretch,engram7_vspan,time_interval,time_return,time_setup,time_total,comfort_score_normalized,distance_interval_normalized,distance_return_normalized,distance_setup_normalized,distance_total_normalized,dvorak7_columns_normalized,dvorak7_distribution_normalized,dvorak7_inward_normalized,dvorak7_middle_normalized,dvorak7_remote_normalized,dvorak7_score_normalized,dvorak7_strength_normalized,dvorak7_vspan_normalized,engram7_hspan_normalized,engram7_load_normalized,engram7_position_normalized,engram7_score_normalized,engram7_sequence_normalized,engram7_strength_normalized,engram7_stretch_normalized,engram7_vspan_normalized,time_interval_normalized,time_return_normalized,time_setup_normalized,time_total_normalized
",I",-1.079536,40.853396,19.646883,21.470911,81.97119,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.25,2.25,0.0,1.0,1.0,0.0,168.0,203.4,213.9,845.807335,0.28031,0.742789,0.28067,0.613455,0.607194,1.0,0.0,0.0,0.0,0.0,0.285714,1.0,0.0,0.0,0.0,0.25,0.321429,0.0,1.0,1.0,0.0,0.194286,0.017,0.0695,0.405599
",J",-0.815792,0.0,21.470911,21.470911,42.941821,1.0,0.5,1.0,0.5,1.0,5.5,1.0,0.5,0.0,1.0,0.5,4.0,0.0,1.0,1.0,0.5,264.0,244.5,213.9,733.549637,0.456139,0.0,0.306727,0.613455,0.318088,1.0,0.5,1.0,0.5,1.0,0.785714,1.0,0.5,0.0,1.0,0.5,0.571429,0.0,1.0,1.0,0.5,0.468571,0.2225,0.0695,0.240514
",K",-0.892973,21.470911,0.0,21.470911,42.941821,1.0,0.0,0.0,0.5,0.0,3.0,1.0,0.5,0.0,0.0,0.5,3.0,0.0,1.0,1.0,0.5,448.0,200.0,213.9,882.493094,0.404685,0.39038,0.0,0.613455,0.318088,1.0,0.0,0.0,0.5,0.0,0.428571,1.0,0.5,0.0,0.0,0.5,0.428571,0.0,1.0,1.0,0.5,0.994286,0.0,0.0695,0.459549
",L",-0.938654,0.0,21.470911,21.470911,42.941821,1.0,0.5,0.0,0.5,0.0,3.0,0.5,0.5,0.0,1.0,0.5,3.5,0.0,0.5,1.0,0.5,178.0,211.5,213.9,638.646059,0.374231,0.0,0.306727,0.613455,0.318088,1.0,0.5,0.0,0.5,0.0,0.428571,0.5,0.5,0.0,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.222857,0.0575,0.0695,0.10095
",M",-0.751148,21.470911,42.941821,21.470911,85.883642,1.0,0.5,1.0,0.0,1.0,5.5,1.0,1.0,1.0,1.0,0.25,6.25,1.0,1.0,1.0,1.0,448.0,200.0,213.9,900.408824,0.499235,0.39038,0.613455,0.613455,0.636175,1.0,0.5,1.0,0.0,1.0,0.785714,1.0,1.0,1.0,1.0,0.25,0.892857,1.0,1.0,1.0,1.0,0.994286,0.0,0.0695,0.485895
",N",-1.401832,21.023796,42.494707,21.470911,84.989413,0.5,0.5,1.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,4.5,1.0,1.0,0.5,1.0,448.0,227.4,213.9,889.3,0.065445,0.382251,0.607067,0.613455,0.629551,0.5,0.5,1.0,0.0,1.0,0.714286,1.0,1.0,0.0,1.0,0.0,0.642857,1.0,1.0,0.5,1.0,0.994286,0.137,0.0695,0.469559
",O",-1.221264,19.646883,41.117793,21.470911,82.235587,1.0,0.5,0.0,0.0,0.0,2.0,0.5,0.0,0.0,1.0,0.25,2.75,0.0,0.5,1.0,0.0,448.0,233.1,213.9,895.0,0.185824,0.357216,0.587397,0.613455,0.609152,1.0,0.5,0.0,0.0,0.0,0.285714,0.5,0.0,0.0,1.0,0.25,0.392857,0.0,0.5,1.0,0.0,0.994286,0.1655,0.0695,0.477941
",P",-1.401832,19.646883,41.117793,21.470911,82.235587,1.0,0.5,0.0,0.0,1.0,3.0,0.5,0.0,1.0,1.0,0.0,3.5,0.0,0.5,1.0,0.0,448.0,200.0,213.9,861.9,0.065445,0.357216,0.587397,0.613455,0.609152,1.0,0.5,0.0,0.0,1.0,0.428571,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.5,1.0,0.0,0.994286,0.0,0.0695,0.429265
",Q",-0.734038,19.646883,41.117793,21.470911,82.235587,1.0,1.0,1.0,0.0,1.0,5.5,0.5,1.0,1.0,1.0,0.0,5.5,1.0,0.5,1.0,1.0,448.0,218.4,213.9,880.3,0.510642,0.357216,0.587397,0.613455,0.609152,1.0,1.0,1.0,0.0,1.0,0.785714,0.5,1.0,1.0,1.0,0.0,0.785714,1.0,0.5,1.0,1.0,0.994286,0.092,0.0695,0.456324
",R",-0.546323,19.646883,41.117793,21.470911,82.235587,1.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,149.0,200.0,213.9,702.303185,0.635785,0.357216,0.587397,0.613455,0.609152,1.0,1.0,1.0,0.0,1.0,0.857143,1.0,1.0,1.0,1.0,0.0,0.857143,1.0,1.0,1.0,1.0,0.14,0.0,0.0695,0.194564
